"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B2792"	"B2792"	"B2792 orf, hypothetical protein "	-0.373	1.096
"B2793"	"syd"	"syd interacts with secY "	-0.261	0.637
"B2794"	"yqcD"	"yqcD orf, hypothetical protein "	-1.349	1.081
"B2795"	"ygdH"	"ygdH orf, hypothetical protein "	0.506	0.805
"B2797"	"sdaB"	"sdaB L-serine dehydratase (deaminase), L-SD2 "	-1.347	-1.546
"B2798"	"exo"	"exo 5'-3' exonuclease "		-1.105
"B2799"	"fucO"	"fucO L-1,2-propanediol oxidoreductase "		
"B2800"	"fucA"	"fucA L-fuculose-1-phosphate aldolase "		
"B2801"	"fucP"	"fucP fucose permease "		-0.639
"B2802"	"fucI"	"fucI L-fucose isomerase "	-2.749	-0.996
"B2803"	"fucK"	"fucK L-fuculokinase "		-0.915
"B2804"	"fucU"	"fucU protein of fucose operon "	-1.395	-0.995
"B2805"	"fucR"	"fucR positive regulator of the fuc operon "	-0.151	
"B2806"	"ygdE"	"ygdE orf, hypothetical protein "		-0.911
"B2807"	"ygdD"	"ygdD orf, hypothetical protein "		0.402
"B2809"	"B2809"	"B2809 orf, hypothetical protein "		0.798
"B2810"	"B2810"	"B2810 orf, hypothetical protein "	-1.925	
"B2811"	"ygdK"	"ygdK orf, hypothetical protein "		-0.506
"B2812"	"ygdL"	"ygdL putative enzyme "		-0.503
"B2813"	"mltA"	"mltA membrane-bound lytic murein transglycosylase A "	-1.887	-1.179
"B2817"	"B2817"	"B2817 putative amidase "	-1.133	-0.307
"B2819"	"recD"	"recD DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease "		-1.707
"B2820"	"recB"	"recB DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease "	-2.221	-1.49
"B2821"	"ptr"	"ptr protease III "	-2.703	-1.391
"B2822"	"recC"	"recC DNA helicase, ATP-dependent dsDNA/ssDNA exonuclease V subunit, ssDNA endonuclease "	-2.139	-0.856
"B2823"	"ppdC"	"ppdC prepilin peptidase dependent protein C "		-0.11
"B2824"	"ygdB"	"ygdB orf, hypothetical protein "		-0.603
"B2825"	"ppdB"	"ppdB prepilin peptidase dependent protein B "		
"B2826"	"ppdA"	"ppdA prepilin peptidase dependent protein A "		-1.697
"B2827"	"thyA"	"thyA thymidylate synthetase "	-0.31	0.24
"B2828"	"lgt"	"lgt phosphatidylglycerol-prolipoprotein diacylglyceryl transferase; a major membrane phospholipid "	-1.392	0.066
"B2829"	"ptsP"	"ptsP PTS system, enzyme I, transcriptional regulator (with NPR and NTR proteins) "	-0.838	0.081
"B2830"	"ygdP"	"ygdP putative invasion protein "	0.051	0.52
"B2831"	"mutH"	"mutH methyl-directed mismatch repair "		-0.674
"B2833"	"B2833"	"B2833 orf, hypothetical protein "		-0.534
"B2834"	"B2834"	"B2834 orf, hypothetical protein "	-0.012	0.357
"B2835"	"ygeD"	"ygeD putative resistance proteins "		-0.987
"B2836"	"aas"	"aas 2-acyl-glycerophospho-ethanolamine acyltransferase; acyl-acyl-carrier protein synthetase "		-1.288
"B2837"	"galR"	"galR repressor of galETK operon "		-0.774
"B2838"	"lysA"	"lysA diaminopimelate decarboxylase "	-2.821	-0.656
"B2839"	"lysR"	"lysR positive regulator for lys "		-0.272
"B2840"	"ygeA"	"ygeA putative resistance proteins "		-0.246
"B2841"	"araE"	"araE low-affinity L-arabinose transport system proton symport protein "		
"B2842"	"kduD"	"kduD 2-deoxy-D-gluconate 3-dehydrogenase "		
"B2843"	"kduI"	"kduI homolog of pectin degrading enzyme 5-keto 4-deoxyuronate isomerase "		
"B2844"	"yqeF"	"yqeF putative acyltransferase "	0.473	
"B2845"	"B2845"	"B2845 putative transporter protein "	-1.319	
"B2860"	"yi22_4"	"yi22_4 IS2 hypothetical protein "		-1.653
"B2861"	"yi21_4"	"yi21_4 IS2 hypothetical protein "	-2.993	-1.002
"B2862"	"B2862"	"B2862 orf, hypothetical protein "		-0.728
"B2865"	"B2865"	"B2865 putative lipoprotein "	-1.425	-0.306
"B2867"	"ygeT"	"ygeT putative dehydrogenase "		
"B2869"	"ygeV"	"ygeV putative transcriptional regulator "	-1.684	
"B2870"	"ygeW"	"ygeW putative carbamoyl transferase "		
"B2875"	"B2875"	"B2875 putative synthases "	-3.2	
"B2876"	"B2876"	"B2876 orf, hypothetical protein "		
"B2877"	"ygfJ"	"ygfJ orf, hypothetical protein "	-1.446	-1.106
"B2880"	"B2880"	"B2880 orf, hypothetical protein "		
"B2881"	"B2881"	"B2881 putative dehydrogenase "		
"B2882"	"ygfO"	"ygfO putative transport protein "		-1.61
"B2883"	"ygfP"	"ygfP orf, hypothetical protein "		-1.424
"B2884"	"ygfQ"	"ygfQ orf, hypothetical protein "		
"B2887"	"ygfT"	"ygfT putative oxidoreductase, Fe-S subunit "		
"B2888"	"ygfU"	"ygfU putative permease "		-1.397
"B2889"	"B2889"	"B2889 putative enzyme "		
"B2890"	"lysS"	"lysS lysine tRNA synthetase, constitutive; suppressor of ColE1 mutation in primer RNA "	0.506	1.303
"B2891"	"prfB"	"prfB peptide chain release factor RF-2 "	-0.449	0.517
"B2892"	"recJ"	"recJ ssDNA exonuclease, 5' --> 3' specific "	-2.199	-0.902
"B2894"	"xerD"	"xerD site-specific recombinase "	-0.813	-0.675
"B2895"	"fldB"	"fldB flavodoxin 2 "	-0.214	-0.355
"B2896"	"B2896"	"B2896 orf, hypothetical protein "	-0.356	-0.525
"B2897"	"ygfY"	"ygfY orf, hypothetical protein "	1.787	0.464
"B2898"	"ygfZ"	"ygfZ orf, hypothetical protein "	0.885	0.674
"B2899"	"B2899"	"B2899 putative oxidoreductase "	-1.376	0.681
"B2900"	"yqfB"	"yqfB orf, hypothetical protein "	-0.167	0.481
"B2901"	"BglA"	"BglA 6-phospho-beta-glucosidase A; cryptic "	0.266	0.764
"B2902"	"ygfF"	"ygfF putative oxidoreductase "	-2.108	-0.252
"B2903"	"gcvP"	"gcvP glycine decarboxylase, P protein of glycine cleavage system "		-0.737
"B2904"	"gcvH"	"gcvH in glycine cleavage complex, carrier of aminomethyl moiety via covalently bound lipoyl cofactor "	0.727	
"B2905"	"gcvT"	"gcvT aminomethyltransferase (T protein; tetrahydrofolate-dependent) of glycine cleavage system "	1.351	-0.394
"B2906"	"visC"	"visC orf, hypothetical protein "	-0.631	-0.311
"B2907"	"ubiH"	"ubiH 2-octaprenyl-6-methoxyphenol--> 2-octaprenyl-6-methoxy-1, 4-benzoquinone "	-1.434	-0.306
"B2908"	"pepP"	"pepP proline aminopeptidase P II "	0.441	0.918
"B2909"	"ygfB"	"ygfB orf, hypothetical protein "	0.363	0.562
"B2910"	"ygfE"	"ygfE orf, hypothetical protein "	1.142	1.943
"B2913"	"serA"	"serA D-3-phosphoglycerate dehydrogenase "	-1.686	3.536
"B2914"	"rpiA"	"rpiA ribosephosphate isomerase, constitutive "	-0.162	0.635
"B2915"	"yqfE"	"yqfE orf, hypothetical protein "	-1.13	0.516
"B2916"	"iciA"	"iciA replication initiation inhibitor, binds to 13-mers at oriC "		0.394
"B2918"	"ygfD"	"ygfD putative nucleotide-binding protein "		
"B2919"	"ygfG"	"ygfG putative enzyme "		
"B2921"	"ygfI"	"ygfI putative transcriptional regulator LYSR-type "	-2.249	-0.305
"B2922"	"yggE"	"yggE putative actin "	1.707	0.958
"B2923"	"yggA"	"yggA orf, hypothetical protein "		-1.114
"B2924"	"yggB"	"yggB putative transport protein "	1.246	2.916
"B2925"	"fba"	"fba fructose-bisphosphate aldolase, class II "	2.788	2.884
"B2926"	"pgk"	"pgk phosphoglycerate kinase "	2.604	3.059
"B2927"	"epd"	"epd D-erythrose 4-phosphate dehydrogenase "	0.398	0.85
"B2928"	"yggC"	"yggC putative kinase "	-1.073	-0.542
"B2929"	"yggD"	"yggD putative transcriptional regulator "		-0.746
"B2930"	"yggF"	"yggF orf, hypothetical protein "		0.227
"B2931"	"B2931"	"B2931 putative oxidoreductase "		
"B2935"	"tktA"	"tktA transketolase 1 isozyme "	2.329	1.169
"B2936"	"yggG"	"yggG orf, hypothetical protein "	0.483	-0.285
"B2937"	"speB"	"speB agmatinase "	-0.724	-0.272
"B2938"	"speA"	"speA Biosynthetic arginine decarboxylase "	1.541	0.563
"B2939"	"yqgB"	"yqgB orf, hypothetical protein "	0.339	-0.129
"B2940"	"yqgC"	"yqgC orf, hypothetical protein "	1.018	0.297
"B2941"	"yqgD"	"yqgD orf, hypothetical protein "		3.123
"B2942"	"metK"	"metK methionine adenosyltransferase 1 (AdoMet synthetase); methyl and propylamine donor, corepressor of met genes "	-0.081	3.164
"B2943"	"galP"	"galP galactose-proton symport of transport system "		-0.812
"B2944"	"sprT"	"sprT orf, hypothetical protein "		-0.907
"B2946"	"yggJ"	"yggJ orf, hypothetical protein "	-0.4	-0.429
"B2947"	"gshB"	"gshB glutathione synthetase "	0.934	0.307
"B2948"	"yqgE"	"yqgE orf, hypothetical protein "		0.522
"B2950"	"yggR"	"yggR putative protein transport "	-1.012	0.246
"B2951"	"yggS"	"yggS orf, hypothetical protein "	-0.791	-0.064
"B2952"	"yggT"	"yggT putative resistance protein "	-0.948	-0.642
"B2953"	"yggU"	"yggU orf, hypothetical protein "	-1.24	
"B2954"	"yggV"	"yggV putative ribosomal protein "	-1.016	-0.618
"B2955"	"yggW"	"yggW putative oxidase "	-1.647	-0.965
"B2958"	"yggN"	"yggN orf, hypothetical protein "		-0.398
"B2959"	"yggL"	"yggL orf, hypothetical protein "	0.97	1.208
"B2960"	"yggH"	"yggH orf, hypothetical protein "	-0.082	0.812
"B2961"	"mutY"	"mutY adenine glycosylase; G.C --> T.A transversions "	-1.378	-0.604
"B2962"	"yggX"	"yggX orf, hypothetical protein "	-0.493	-0.395
"B2963"	"mltC"	"mltC membrane-bound lytic murein transglycosylase C "	-0.915	-0.94
"B2964"	"nupG"	"nupG transport of nucleosides, permease protein "	-0.945	-1.468
"B2965"	"speC"	"speC ornithine decarboxylase isozyme "	-2.526	-1.726
"B2966"	"yqgA"	"yqgA putative transport protein "		
"B2969"	"yghE"	"yghE putative general secretion pathway for protein export (GSP) "	-1.65	0.108
"B2970"	"B2970"	"B2970 putative general secretion pathway for protein export (GSP) "		
"B2971"	"B2971"	"B2971 orf, hypothetical protein "		-1.528
"B2973"	"B2973"	"B2973 orf, hypothetical protein "		-1.407
"B2975"	"yghK"	"yghK putative permease "		
"B2976"	"glcB"	"glcB malate synthase G "		-1.54
"B2979"	"glcD"	"glcD glycolate oxidase subunit D "		-1.207
"B2980"	"glcC"	"glcC transcriptional activator for glc operon "	0.763	
"B2981"	"B2981"	"B2981 orf, hypothetical protein "	-1.681	-1.626
"B2982"	"trs5_9"	"trs5_9 IS5 transposase "	-0.678	-0.649
"B2983"	"yghQ"	"yghQ orf, hypothetical protein "		
"B2984"	"yghR"	"yghR orf, hypothetical protein "		-1.77
"B2985"	"yghS"	"yghS orf, hypothetical protein "		
"B2987"	"pitB"	"pitB low-affinity phosphate transport "		-2.078
"B2988"	"gsp"	"gsp glutathionylspermidine synthetase/amidase "	-0.996	-0.546
"B2989"	"B2989"	"B2989 orf, hypothetical protein "	-2.368	-0.149
"B2990"	"hybG"	"hybG hydrogenase-2 operon protein: may effect maturation of large subunit of hydrogenase-2 "		
"B2994"	"hybC"	"hybC probable large subunit, hydrogenase-2 "		-1.904
"B2995"	"hybB"	"hybB probable cytochrome Ni/Fe component of hydrogenase-2 "	2.063	
"B2997"	"B2997"	"B2997 putative hydrogenase subunit "	-1.33	-0.591
"B2998"	"B2998"	"B2998 orf, hypothetical protein "		0.79
"B2999"	"B2999"	"B2999 orf, hypothetical protein "		-0.283
"B3000"	"B3000"	"B3000 orf, hypothetical protein "		0.762
"B3002"	"yqhA"	"yqhA orf, hypothetical protein "	-0.295	-0.195
"B3003"	"yghA"	"yghA putative oxidoreductase "	-1.052	0.88
"B3004"	"B3004"	"B3004 orf, hypothetical protein "		1.107
"B3005"	"exbD"	"exbD uptake of enterochelin; tonB-dependent uptake of B colicins "		1.979
"B3006"	"exbB"	"exbB uptake of enterochelin; tonB-dependent uptake of B colicins "	-1.335	2.114
"B3007"	"B3007"	"B3007 orf, hypothetical protein "		2.042
"B3008"	"metC"	"metC cystathionine beta-lyase (beta-cystathionase) "	-1.831	1.218
"B3009"	"yghB"	"yghB orf, hypothetical protein "	-1.402	-0.058
"B3011"	"yqhD"	"yqhD putative oxidoreductase "	-1.928	-0.27
"B3012"	"yqhE"	"yqhE orf, hypothetical protein "	0.402	1.821
"B3013"	"yqhG"	"yqhG orf, hypothetical protein "		-1.491
"B3014"	"yqhH"	"yqhH orf, hypothetical protein "		
"B3016"	"ygiR"	"ygiR orf, hypothetical protein "	-1.466	
"B3018"	"plsC"	"plsC 1-acyl-sn-glycerol-3-phosphate acyltransferase "		-0.71
"B3019"	"parC"	"parC DNA topoisomerase IV subunit A "	-1.368	-0.808
"B3020"	"B3020"	"B3020 putative transport periplasmic protein "	-0.675	
"B3021"	"B3021"	"B3021 orf, hypothetical protein "		-0.28
"B3022"	"B3022"	"B3022 orf, hypothetical protein "	-1.255	0.871
"B3023"	"B3023"	"B3023 orf, hypothetical protein "		0.084
"B3024"	"ygiW"	"ygiW orf, hypothetical protein "	0.198	-0.28
"B3025"	"ygiX"	"ygiX putative 2-component transcriptional regulator "		
"B3026"	"ygiY"	"ygiY putative 2-component sensor protein "	-2.08	-0.455
"B3028"	"mdaB"	"mdaB modulator of drug activity B "		-0.205
"B3029"	"ygiN"	"ygiN orf, hypothetical protein "	-0.528	0.371
"B3030"	"parE"	"parE DNA topoisomerase IV subunit B "	-1.727	-1.081
"B3031"	"yqiA"	"yqiA orf, hypothetical protein "		-0.277
"B3032"	"icc"	"icc regulator of lacZ "	-0.642	0.377
"B3034"	"yqiE"	"yqiE orf, hypothetical protein "	0.132	0.704
"B3035"	"tolC"	"tolC outer membrane channel; specific tolerance to colicin E1; segregation of daughter chromosomes "	1.417	1.354
"B3036"	"ygiA"	"ygiA orf, hypothetical protein "	1.427	1.107
"B3037"	"ygiB"	"ygiB orf, hypothetical protein "	1.707	1.184
"B3038"	"ygiC"	"ygiC putative synthetase/amidase "	-0.868	-0.593
"B3039"	"ygiD"	"ygiD orf, hypothetical protein "		-1.286
"B3040"	"ygiE"	"ygiE orf, hypothetical protein "	-1.763	-0.054
"B3041"	"ribB"	"ribB 3,4 dihydroxy-2-butanone-4-phosphate synthase "	-2.036	-0.458
"B3042"	"B3042"	"B3042 orf, hypothetical protein "	1.248	1.407
"B3044"	"yi21_5"	"yi21_5 IS2 hypothetical protein "	-2.997	-1.072
"B3045"	"yi22_5"	"yi22_5 IS2 hypothetical protein "	-3.629	-2.081
"B3046"	"yqiG"	"yqiG putative membrane protein "		
"B3049"	"glgS"	"glgS glycogen biosynthesis, rpoS dependent "	0.811	1.92
"B3051"	"B3051"	"B3051 putative membrane protein "		-2.22
"B3052"	"B3052"	"B3052 putative kinase "	-1.539	-0.747
"B3053"	"glnE"	"glnE adenylylating enzyme for glutamine synthetase "	-1.538	-0.265
"B3054"	"ygiF"	"ygiF orf, hypothetical protein "		-0.554
"B3055"	"ygiM"	"ygiM orf, hypothetical protein "	-0.127	-0.415
"B3056"	"cca"	"cca tRNA nucleotidyl transferase "	-1.544	-0.424
"B3057"	"BacA"	"BacA Bacitracin resistance; possibly phosphorylates undecaprenol "		-1.371
"B3058"	"ygiG"	"ygiG putative kinase "	-1.345	-0.674
"B3059"	"ygiH"	"ygiH orf, hypothetical protein "		-1.033
"B3061"	"ttdA"	"ttdA L-tartrate dehydratase, subunit A "		-1.142
"B3063"	"ygjE"	"ygjE orf, hypothetical protein "		-1.557
"B3064"	"ygjD"	"ygjD putative O-sialoglycoprotein endopeptidase "	-1.23	-0.065
"B3065"	"rpsU"	"rpsU 30S ribosomal subunit protein S21 "	3.698	2.861
"B3066"	"dnaG"	"dnaG DNA biosynthesis; DNA primase "	-2.24	-0.269
"B3067"	"rpoD"	"rpoD RNA polymerase, sigma(70) factor; regulation of proteins induced at high temperatures "	-0.165	0.461
"B3068"	"ygjF"	"ygjF orf, hypothetical protein "		-0.23
"B3070"	"yqjH"	"yqjH orf, hypothetical protein "		-0.605
"B3072"	"aer"	"aer aerotaxis sensor receptor, flavoprotein "		-1.202
"B3073"	"ygjG"	"ygjG probable ornithine aminotransferase "		2.873
"B3074"	"ygjH"	"ygjH putative tRNA synthetase "		-0.515
"B3075"	"ebgR"	"ebgR regulator of ebg operon "	-1.209	-1.283
"B3078"	"ygjI"	"ygjI putative oxidoreductase "		-1.62
"B3084"	"ygjO"	"ygjO putative enzyme "		
"B3086"	"ygjQ"	"ygjQ orf, hypothetical protein "		
"B3087"	"ygjR"	"ygjR orf, hypothetical protein "	-1.326	-0.609
"B3088"	"ygjT"	"ygjT putative transport protein "		-0.263
"B3089"	"ygjU"	"ygjU putative transport protein "	-2.009	1.107
"B3091"	"uxaA"	"uxaA altronate hydrolase "		
"B3092"	"uxaC"	"uxaC uronate isomerase "	-2.326	-0.864
"B3093"	"exuT"	"exuT transport of hexuronates "		-1.596
"B3094"	"exuR"	"exuR negative regulator of exu regulon, exuT, uxaAC, and uxuB "	-1.327	0.558
"B3095"	"yqjA"	"yqjA orf, hypothetical protein "		-0.014
"B3096"	"yqjB"	"yqjB orf, hypothetical protein "	-0.965	0.173
"B3097"	"yqjC"	"yqjC orf, hypothetical protein "	0.542	1.434
"B3098"	"yqjD"	"yqjD orf, hypothetical protein "	0.636	1.798
"B3099"	"yqjE"	"yqjE orf, hypothetical protein "	-0.331	1.33
"B3101"	"yqjF"	"yqjF orf, hypothetical protein "		-0.3
"B3102"	"yqjG"	"yqjG putative transferase "		-0.638
"B3103"	"yhaH"	"yhaH putative cytochrome "	-0.955	-0.054
"B3105"	"yhaJ"	"yhaJ putative transcriptional regulator LYSR-type "		-0.886
"B3106"	"yhaK"	"yhaK orf, hypothetical protein "	-0.65	0.7
"B3108"	"yhaM"	"yhaM orf, hypothetical protein "	-0.403	
"B3109"	"yhaN"	"yhaN orf, hypothetical protein "		-0.674
"B3110"	"yhaO"	"yhaO putative transport system permease protein "	0.001	
"B3111"	"yhaP"	"yhaP putative L-serine dehydratase "		
"B3114"	"tdcE"	"tdcE probable formate acetyltransferase 3 "		
"B3115"	"tdcD"	"tdcD putative kinase "		
"B3116"	"tdcC"	"tdcC anaerobically inducible L-threonine, L-serine permease "		
"B3118"	"tdcA"	"tdcA transcriptional activator of tdc operon "		
"B3124"	"yhaD"	"yhaD orf, hypothetical protein "		-1.367
"B3125"	"yhaE"	"yhaE putative dehydrogenase "	-1.765	-0.881
"B3127"	"yhaU"	"yhaU putative transport protein "	-2.422	-1.743
"B3129"	"sohA"	"sohA putative protease; htrA suppressor protein "	-1.529	
"B3130"	"yhaV"	"yhaV orf, hypothetical protein "		-0.481
"B3131"	"agaR"	"agaR putative DEOR-type transcriptional regulator of aga operon "	-1.552	-0.697
"B3134"	"agaW"	"agaW PTS system N-acetylgalactosameine-specific IIC component 2 "		-1.188
"B3135"	"agaA"	"agaA putative N-acetylgalactosamine-6-phosphate deacetylase "		-0.782
"B3136"	"agaS"	"agaS putative tagatose-6-phosphate aldose/ketose isomerase "		-1.417
"B3139"	"agaC"	"agaC PTS system N-acetylgalactosamine-specific IIC component 1 "		
"B3142"	"yraH"	"yraH putative fimbrial-like protein "		
"B3144"	"yraJ"	"yraJ putative outer membrane protein "		-1.954
"B3145"	"yraK"	"yraK putative fimbrial protein "		
"B3146"	"yraL"	"yraL orf, hypothetical protein "		-0.796
"B3147"	"yraM"	"yraM putative glycosylase "	-1.423	-0.423
"B3149"	"yraO"	"yraO orf, hypothetical protein "	-1.148	0.103
"B3150"	"yraP"	"yraP putative periplasmic protein "	-0.744	-0.139
"B3151"	"yraQ"	"yraQ orf, hypothetical protein "	-2.662	-1.656
"B3152"	"yraR"	"yraR orf, hypothetical protein "		-1.065
"B3153"	"yhbO"	"yhbO orf, hypothetical protein "	-1.899	-0.12
"B3154"	"yhbP"	"yhbP orf, hypothetical protein "		-0.918
"B3155"	"yhbQ"	"yhbQ orf, hypothetical protein "		
"B3157"	"yhbT"	"yhbT orf, hypothetical protein "	-0.425	-0.356
"B3158"	"yhbU"	"yhbU putative collagenase "		-0.754
"B3161"	"mtr"	"mtr tryptophan-specific transport protein "		0.267
"B3162"	"deaD"	"deaD inducible ATP-independent RNA helicase "	-3.015	0.806
"B3163"	"yhbM"	"yhbM putative control proteins "	1.943	2.645
"B3164"	"pnp"	"pnp polynucleotide phosphorylase; cytidylate kinase activity "	1.457	1.162
"B3165"	"rpsO"	"rpsO 30S ribosomal subunit protein S15 "	2.543	2.076
"B3166"	"truB"	"truB tRNA pseudouridine 5S synthase "	-0.925	0.021
"B3167"	"rbfA"	"rbfA ribosome-binding factor A "	-0.587	0.249
"B3168"	"infB"	"infB protein chain initiation factor IF-2 "	0.356	0.326
"B3169"	"nusA"	"nusA transcription pausing; L factor "	-0.648	0.042
"B3170"	"yhbC"	"yhbC orf, hypothetical protein "	-0.257	-0.22
"B3172"	"argG"	"argG argininosuccinate synthetase "	-1.877	-0.172
"B3173"	"yhbX"	"yhbX putative alkaline phosphatase I "	-2.905	-2.356
"B3175"	"secG"	"secG protein export - membrane protein "	0.769	0.029
"B3176"	"mrsA"	"mrsA similar to phosphoglucomutases and phosphomannomutases "	0.097	-0.031
"B3177"	"folP"	"folP 7,8-dihydropteroate synthase "	-0.683	-1.056
"B3178"	"hflB"	"hflB degrades sigma32, integral membrane peptidase, cell division protein "	-0.16	0.77
"B3179"	"ftsJ"	"ftsJ cell division protein "	0.682	1.923
"B3180"	"yhbY"	"yhbY orf, hypothetical protein "	0.059	1.703
"B3181"	"greA"	"greA transcription elongation factor: cleaves 3' nucleotide of paused mRNA "		-0.566
"B3183"	"yhbZ"	"yhbZ putative GTP-binding factor "		-0.188
"B3184"	"yhbE"	"yhbE orf, hypothetical protein "		-0.417
"B3185"	"rpmA"	"rpmA 50S ribosomal subunit protein L27 "	1.478	2.306
"B3186"	"rplU"	"rplU 50S ribosomal subunit protein L21 "	2.238	2.363
"B3187"	"ispB"	"ispB octaprenyl diphosphate synthase "	-0.048	0.352
"B3188"	"nlp"	"nlp regulatory factor of maltose metabolism; similar to Ner repressor protein of phage Mu "		-0.654
"B3189"	"murA"	"murA first step in murein biosynthesis;UDP-N-glucosamine 1-carboxyvinyltransferase "	0.108	0.102
"B3190"	"yrbA"	"yrbA orf, hypothetical protein "	-0.58	0.192
"B3191"	"yrbB"	"yrbB orf, hypothetical protein "		
"B3192"	"yrbC"	"yrbC orf, hypothetical protein "	-0.69	0.155
"B3193"	"yrbD"	"yrbD orf, hypothetical protein "	-1.092	-0.07
"B3194"	"yrbE"	"yrbE orf, hypothetical protein "		-0.972
"B3195"	"yrbF"	"yrbF putative ATP-binding component of a transport system "	-0.92	0.009
"B3196"	"yrbG"	"yrbG orf, hypothetical protein "		-1.423
"B3198"	"yrbI"	"yrbI orf, hypothetical protein "	-1.158	0.438
"B3199"	"yrbK"	"yrbK orf, hypothetical protein "	0.443	0.808
"B3200"	"yhbN"	"yhbN orf, hypothetical protein "	-0.599	0.352
"B3201"	"yhbG"	"yhbG putative ATP-binding component of a transport system "	-0.343	0.32
"B3202"	"rpoN"	"rpoN RNA polymerase, sigma(54 or 60) factor; nitrogen and fermentation regulation "	0.392	1.599
"B3203"	"yhbH"	"yhbH probable sigma-54 modulation protein "	1.732	2.873
"B3204"	"ptsN"	"ptsN phosphotransferase system enzyme IIA, regulates N metabolism "	1.268	2.748
"B3205"	"yhbJ"	"yhbJ orf, hypothetical protein "	0.992	1.681
"B3206"	"ptsO"	"ptsO phosphocarrier protein HPr-like NPr, nitrogen related, exchanges phosphate with Enzyme I, Hpr "	0.616	1.665
"B3207"	"yrbL"	"yrbL orf, hypothetical protein "	1.163	2.683
"B3208"	"mtgA"	"mtgA putative peptidoglycan enzyme "	-0.727	0.251
